1.9952623149688828e-10, 8.268591666171723e-16
2.089296130854041e-10, 8.658278376864834e-16
2.1877616239495518e-10, 9.066330455712908e-16
2.2908676527677794e-10, 9.493613435794533e-16
2.398832919019495e-10, 9.941033641500914e-16
2.511886431509582e-10, 1.0409540110971075e-15
2.6302679918953814e-10, 1.0900126609128243e-15
2.7542287033381745e-10, 1.1413833735587898e-15
2.8840315031266117e-10, 1.1951751131908176e-15
3.0199517204020193e-10, 1.2515019792865208e-15
3.1622776601683795e-10, 1.3104834486655003e-15
3.311311214825921e-10, 1.3722446289156175e-15
3.467368504525324e-10, 1.4369165237628426e-15
3.6307805477010177e-10, 1.5046363109476497e-15
3.801893963205613e-10, 1.5755476331972603e-15
3.9810717055349854e-10, 1.649800902911016e-15
4.1686938347033633e-10, 1.7275536212050868e-15
4.3651583224016655e-10, 1.80897071199335e-15
4.5708818961487517e-10, 1.8942248718129437e-15
4.786300923226399e-10, 1.983496936136624e-15
5.011872336272735e-10, 2.0769762629488385e-15
5.248074602497734e-10, 2.17486113439925e-15
5.495408738576248e-10, 2.277359177385518e-15
5.75439937337159e-10, 2.384687803957583e-15
6.025595860743593e-10, 2.497074672477486e-15
6.309573444801942e-10, 2.6147581705130722e-15
6.606934480075964e-10, 2.7379879204896615e-15
6.918309709189363e-10, 2.8670253091723816e-15
7.244359600749921e-10, 3.0021440421022236e-15
7.585775750291851e-10, 3.143630724161782e-15
7.943282347242822e-10, 3.2917854675023246e-15
8.317637711026709e-10, 3.4469225281214346e-15
8.709635899560833e-10, 3.6093709724416905e-15
9.120108393559115e-10, 3.779475375304124e-15
9.549925860214368e-10, 3.957596550857212e-15
1.e-9, 4.144112317891444e-15
1.0471285480509028e-9, 4.3394183012430406e-15
1.0964781961431874e-9, 4.543928770966552e-15
1.148153621496884e-9, 4.7580775210565654e-15
1.2022644346174132e-9, 4.9823187895820965e-15
1.2589254117941712e-9, 5.217128222185632e-15
1.31825673855641e-9, 5.463003880990331e-15
1.3803842646028867e-9, 5.7204673010557106e-15
1.445439770745928e-9, 5.990064596622306e-15
1.5135612484362133e-9, 6.2723676194921055e-15
1.5848931924611173e-9, 6.567975172001566e-15
1.6595869074375631e-9, 6.877514277160484e-15
1.7378008287493762e-9, 7.201641508650334e-15
1.81970085860999e-9, 7.541044383503604e-15
1.9054607179632523e-9, 7.896442820417807e-15
1.9952623149688828e-9, 8.268590666797935e-15
2.089296130854041e-9, 8.658277297765839e-15
2.1877616239495518e-9, 9.066329290528615e-15
2.2908676527677795e-9, 9.493612177657475e-15
2.3988329190194947e-9, 9.941032282995763e-15
2.511886431509582e-9, 1.0409538644090953e-14
2.6302679918953923e-9, 1.0900125025227569e-14
2.7542287033381745e-9, 1.1413832025331239e-14
2.8840315031266117e-9, 1.1951749285215514e-14
3.019951720402019e-9, 1.2515017798852339e-14
3.1622776601683795e-9, 1.310483233356943e-14
3.3113112148259214e-9, 1.3722443964307849e-14
3.4673685045253237e-9, 1.4369162727314948e-14
3.6307805477010177e-9, 1.504636039890235e-14
